!	!
!!	!!
!((	!((
!)	!)
!-	!-
!mxt	!MXT
!xt	!XT
ઘોડબંદર	ઘોડબંદર
ઘોડા	ઘોડા
ઘોડી	ઘોડ* +(ી)
ઘોડો	ઘોડ* +(ો)
ઘોર	ઘોર
ઘોરખોદિયું	ઘોરખોદિયું
ઘોરાડ	ઘોરાડ
ઘોરી	ઘોર +(ી)
ઘોષ	ઘોષ
ઘોષાલ	ઘોષાલ
ઙુલત્રુમ	ઙુલત્રુમ
ચંચુ	ચંચુ
ચંડીગઢ	ચંડીગઢ
ચંડુલ	ચંડુલ
ચંડેલ	ચંડેલ
ચંદ	ચંદ
ચંદનાપુરી	ચંદનાપુરી
ચંદર	ચંદર
ચંદરયા	ચંદરયા
ચંદીયા	ચંદીયા
ચંદુભાઈ	ચંદુભાઈ
ચંદેરીનો	ચંદેરીનો
ચંદ્ર	ચંદ્ર
ચંદ્રક	ચંદ્રક
ચંદ્રકાંત	ચંદ્રકાંત
ચંદ્રકાન્ત	ચંદ્રકાન્ત
ચંદ્રગુપ્ત	ચંદ્રગુપ્ત
ચંદ્રતાલ	ચંદ્રતાલ
ચંદ્રપૂર	ચંદ્રપૂર
ચંદ્રપ્રભ	ચંદ્રપ્રભ
ચંદ્રયાન-૧	ચંદ્રયાન ૧
ચંદ્રયાન-૨	ચંદ્રયાન ૨
ચંદ્રવંશી	ચંદ્રવંશી
ચંદ્રવદન	ચંદ્રવદન
ચંદ્રશેખર	ચંદ્રશેખર
ચંદ્રશેખરેન્દ્ર	ચંદ્રશેખરેન્દ્ર
ચંદ્રા	ચંદ્રા
ચંદ્રો	ચંદ્ર +(ો)
ચંપક	ચંપક
ચંપારણ	ચંપારણ
ચંપારણ્ય	ચંપારણ્ય
ચંપાવત	ચંપાવત
ચંપો	ચંપો
ચંબલ	ચંબલ
ચંબા	ચંબા
ચક	ચક
ચકરી	ચકરી
ચકલાસી	ચકલાસી
ચકલી	ચકલી
ચકાસણીયોગ્યતા	ચકાસણીયોગ્યતા
ચક્તાવાળી	ચક્તાવાળી
ચક્ર	ચક્ર
ચક્રવર્તી	ચક્રવર્તી
ચક્રવાક	ચક્રવાક
ચક્રવાત	ચક્રવાત
ચચાણા	ચચાણા
ચટણી	ચટણી
ચઢ્ઢા	ચઢ્ઢા
ચણા	ચણા
ચણોઠી	ચણોઠી
ચણોદ	ચણોદ
ચતરા	ચતરા
ચતુર્થી	ચતુર્થી
ચતુર્વેદી	ચતુર્વેદી
ચતુષ્કોણ	ચતુષ્કોણ
ચન્દનનગર	ચન્દનનગર
ચન્દૌલી	ચન્દૌલી
ચન્દ્રકાન્ત	ચન્દ્રકાન્ત
ચન્દ્રઘંટા	ચન્દ્રઘંટા
ચબુતરો	ચબુતરો
ચમારડી	ચમારડી
ચમોલી	ચમોલી
ચમ્ફાઇ	ચમ્ફાઇ
ચયાપચય	ચયાપચય
ચરક	ચરક
ચરખા	ચરખા
ચરખો	ચરખો
ચરબી	ચરબી
ચરિત	ચરિત
ચરિતામૃત	ચરિતામૃત
ચરિત્ર	ચરિત્ર
ચરી	ચરી
ચર્ચા-પૂરી	ચર્ચા પૂર +(ી)
ચર્ચાપાનું	ચર્ચા પાનું
ચલ	ચલ
ચલચિત્ર	ચલચિત્ર
ચલણી	ચલણી
ચલથાણ	ચલથાણ
ચલાલા	ચલાલા
ચળવળ	ચળવળ
ચશ્મા	ચશ્મા
ચા	ચા
ચાંગા	ચાંગા
ચાંચ	ચાંચ
ચાંદ	ચાંદ
ચાંદપુરી	ચાંદ પુર +(ી)
ચાંદી	ચાંદ +(ી)
ચાંદ્રોડા	ચાંદ્રોડા
ચાંપાનેર	ચાંપાનેર
ચાઇનીઝ	ચાઇનીઝ
ચાકન	ચાકન
ચાકળ	ચાકળ
ચાકી	ચાકી
ચાક્યાર	ચાક્યાર
ચાગસ	ચાગસ
ચાટ	ચાટ
ચાડિયો	ચાડિયો
ચાણક્ય	ચાણક્ય
ચાણસ્મા	ચાણસ્મા
ચાતક	ચાતક
ચામરાજનગર	ચામરાજનગર
ચામલિંગ	ચામલિંગ
ચામાચિડિયું	ચામાચિડિયું
ચામુંડા	ચામુંડા
ચામુંડી	ચામુંડી
ચારકોપ	ચારકોપ
ચારણ	ચારણ
ચારધામ	ચારધામ
ચારેન્ત્સ	ચારેન્ત્સ
ચારોળી	ચારોળી
ચાર્લી	ચાર્લી
ચાર્લ્સ	ચાર્લ્સ
ચાલ	ચાલ
ચાલીસા	ચાલીસા
ચાલુ	ચાલુ
ચાલુક્ય	ચાલુક્ય
ચાળીસગાંવ	ચાળીસગાંવ
ચાવંડ	ચાવંડ
ચાવડા	ચાવડા
ચાવલા	ચાવલા
ચાવીન્દાની	ચાવીન્દાની
ચિંકારા	ચિંકારા
ચિંતાજનક	ચિંતાજનક
ચિકમંગલુર	ચિકમંગલુર
ચિકમંગલૂર	ચિકમંગલૂર
ચિકિત્સા	ચિકિત્સા
ચિક્કબલ્લાપુરા	ચિક્કબલ્લાપુરા
ચિખલદારા	ચિખલદારા
ચિખલી	ચિખલી
ચિખલી,	ચિખલી,
ચિખોદરા	ચિખોદરા
ચિચેન	ચિચેન
ચિટકુલ,	ચિટકુલ,
ચિત્તભ્રમણા	ચિત્તભ્રમણા
ચિત્તરંજનદાસ	ચિત્તરંજનદાસ
ચિત્તાગોંગ	ચિત્તાગોંગ
ચિત્તૂર	ચિત્તૂર
ચિત્તો	ચિત્તો
ચિત્તોડગઢ	ચિત્તોડગઢ
ચિત્રકળા	ચિત્રકળા
ચિત્રકૂટ	ચિત્રકૂટ
ચિત્રકોટનો	ચિત્રકોટનો
ચિત્રગેલેરી	ચિત્રગેલેરી
ચિત્રદુર્ગ	ચિત્રદુર્ગ
ચિત્રલિપિ	ચિત્રલિપિ
ચિત્રલેખા	ચિત્રલેખા
ચિત્રા	ચિત્રા
ચિત્રાંગદ	ચિત્રાંગદ
ચિત્રાંગદા	ચિત્રાંગદા
ચિત્રાવાવ,તા.રાજકોટ	ચિત્રાવાવ,તા.રાજકોટ
ચિત્રોડ	ચિત્રોડ
ચિદમ્બરમ	ચિદમ્બરમ
ચિનુ	ચિનુ
ચિનોઇ	ચિનોઇ
ચિરંજીવી	ચિરંજીવી
ચિરમીરી,	ચિરમીરી,
ચિરાઘ	ચિરાઘ
ચિલીના	ચિલીના
ચિશ્તી	ચિશ્તી
ચિહ્ન	ચિહ્ન
ચી	ચી
ચીંગ	ચીંગ
ચીકુ	ચીકુ
ચીજગામ	ચીજગામ
ચીઝ	ચીઝ
ચીન	ચીન
ચીનની	ચીનની
ચીનનો	ચીન +(ો)
ચીનાઈ	ચીનાઈ
ચીની	ચીન +(ી)
ચીપકો	ચીપકો
ચીમનભાઈ	ચીમનભાઈ
ચીમનલાલ	ચીમનલાલ
ચીયા	ચીયા
ચીર	ચીર
ચીરાઇ	ચીરાઇ
ચીલી	ચીલી
ચીલીનો	ચીલીનો
ચુંબકીય	ચુંબકીય
ચુઆન	ચુઆન
ચુચુરા	ચુચુરા
ચુડા	ચુડા
ચુડાસમા	ચુડાસમા
ચુની	ચુની
ચુનીલાલ	ચુનીલાલ
ચુરાચાંદપુર	ચુરાચાંદપુર
ચુરુ	ચુરુ
ચૂંટણી	ચૂંટણી
ચૂંટણી,	ચૂંટણી,
ચૂડામણિ	ચૂડામણિ
ચૂલો	ચૂલો
ચૅડ	ચૅડ
ચૅડનો	ચૅડનો
ચૅડવિક	ચૅડવિક
ચૅપ્લિન	ચૅપ્લિન
ચે	ચે
ચેંગલોન્ગ	ચેંગલોન્ગ
ચેઇન્સ	ચેઇન્સ
ચેકિતાન	ચેકિતાન
ચેખવ	ચેખવ
ચેટર્જી	ચેટર્જી
ચેટીચંડ	ચેટીચંડ
ચેતક	ચેતક
ચેતન	ચેતન
ચેતેશ્વર	ચેતેશ્વર
ચેન	ચેન
ચેનલ	ચેનલ
ચેનલો	ચેનલ +(ો)
ચેનાબ	ચેનાબ
ચેન્નઈ	ચેન્નઈ
ચેન્નાઇ	ચેન્નાઇ
ચેપો	ચેપો
ચેમ્પ્સ-એલીસીસ	ચેમ્પ્સ એલીસીસ
ચેરાપુંજી	ચેરાપુંજી
ચેરી	ચેરી
ચેલ્સી	ચેલ્સી
ચેવડો	ચેવડો
ચેસ	ચેસ
ચેસ્ટર	ચેસ્ટર
ચૈતન્ય	ચૈતન્ય
ચૈત્ર	ચૈત્ર
ચો	ચો
ચોક	ચોક
ચોકઠું	ચોકઠું
ચોકડી	ચોકડી
ચોગઠ	ચોગઠ
ચોઘડિયાં	ચોઘડિયાં
ચોટલી	ચોટલી
ચોટીલા	ચોટીલા
ચોટીલી	ચોટીલી
ચોતરો	ચોતરો
ચોતરો/દફ્તર	ચોતરો/દફ્તર
ચોથ	ચોથ
ચોપડા	ચોપડા
ચોપરા	ચોપરા
ચોબારી	ચોબારી
ચોમાસુ	ચોમાસુ
ચોમ્સ્કી	ચોમ્સ્કી
ચોરલા	ચોરલા
ચોરવાડ	ચોરવાડ
ચોરસ	ચોરસ
ચોર્યાસીસ્તંભ	ચોર્યાસીસ્તંભ
ચોલ	ચોલ
ચોલા	ચોલા
ચોલામંડલમ	ચોલામંડલમ
ચોળા	ચોળા
ચોસઠ	ચોસઠ
ચૌટાબજાર,	ચૌટાબજાર,
ચૌદશ	ચૌદશ
ચૌદસ	ચૌદસ
ચૌધરી	ચૌધરી
ચૌધુરી	ચૌધુરી
ચૌરસિયા	ચૌરસિયા
ચૌરા	ચૌરા
ચૌરી	ચૌરી
ચૌસઠ	ચૌસઠ
ચૌહાણ	ચૌહાણ
છઠ	છઠ
છઠ્ઠી	છઠ્ઠી
છત્તરપુર	છત્તરપુર
છત્તિસગઢ	છત્તિસગઢ
છત્તીસગઢ	છત્તીસગઢ
છત્તીસગઢના	છત્તીસગઢ +(ના)
છત્તીસગઢી	છત્તીસગઢ +(ી)
છત્રપતિ	છત્રપતિ
છત્રપુર	છત્રપુર
છત્રી,	છત્રી,
છપિયા	છપિયા
છબીલદાસ	છબીલદાસ
છલાળા	છલાળા
છાંયા	છાંયા
છાણીયું	છાણીયું
છાપી	છાપી
છાયા	છાયા
છારી-ઢંઢ	છારી ઢંઢ
છારોડી	છારોડી
છાશ	છાશ
છિદ્રાળુતા	છિદ્રાળુતા
છિન્દવાડા	છિન્દવાડા
છિન્નપત્ર	છિન્નપત્ર
છુઈખદાન	છુઈખદાન
છુપી	છુપી
છૂંદો	છૂંદો
છેડા	છેડા
છેર	છેર
છેલ	છેલ
છેલ્લો	છેલ્લો
છોટાઉદેપુર	છોટાઉદેપુર
છોટાલાલ	છોટાલાલ
છોડ	છોડ
છોડો	છોડ +(ો)
જંકશન	જંકશન
જંગ	જંગ
જંગલ	જંગલ
જંગલી	જંગલ +(ી)
જંતર	જંતર
જંતુનાશક	જંતુનાશક
જંબુસર	જંબુસર
જઈશ?	જઈશ?
જકાર	જકાર
જખ	જખ
જખૌ	જખૌ
જગડુશા	જગડુશા
જગત	જગત
જગતસિંઘજી	જગતસિંઘજી
જગતસિંહપુર	જગતસિંહપુર
જગદાલપુર	જગદાલપુર
જગદીશ	જગદીશ
જગદીશચંદ્ર	જગદીશચંદ્ર
જગદ્ગુરુ	જગદ્ગુરુ
જગન્નાથપુરી	જગન્નાથપુરી
જગ્ગી	જગ્ગી
જગ્યા	જગ્યા
જઝીરા	જઝીરા
જટાયુ	જટાયુ
જટાશંકર,	જટાશંકર,
જદુનાથસિંહ	જદુનાથસિંહ
જન	જન
જનક	જનક
જનકપુર	જનકપુર
જનતા	જનતા
જનન	જનન
જનમેજય	જનમેજય
જનરલ	જનરલ
જનસંખ્યા	જનસંખ્યા
જનસંઘ	જનસંઘ
જન્નત	જન્નત
જન્મ	જન્મ
જન્માષ્ટમી	જન્માષ્ટમી
જન્મો	જન્મ +(ો)
જપમાળા	જપમાળા
જબ	જબ
જબલપુર	જબલપુર
જમદગ્નિ	જમદગ્નિ
જમશેદજી	જમશેદજી
જમશેદપુર	જમશેદપુર
જમીન	જમીન
જમુઈ	જમુઈ
જમૈકાનો	જમૈકાનો
જમ્પિંગ	જમ્પિંગ
જમ્મુ	જમ્મુ
જમ્મુ-સિયાલકોટ	જમ્મુ સિયાલકોટ
જય	જય
જયંત	જયંત
જયંતિ	જયંતિ
જયંતિયા	જયંતિયા
જયંતી	જયંત +(ી)
જયકોરબાઈ	જયકોરબાઈ
જયગઢ	જયગઢ
જયગઢનો	જયગઢનો
