!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
ગોએર	ગો@@ એ@@ ર
ગોકુળ	ગો@@ કુ@@ ળ
ગોખરુ	ગો@@ ખ@@ રુ
ગોખલે	ગો@@ ખ@@ લે
ગોગોઈ	ગો@@ ગો@@ ઈ
ગોઝારીયા	ગો@@ ઝાર@@ ીયા
ગોટી	ગો@@ ટી
ગોડફ્રી	ગો@@ ડ@@ ફ્ર@@ ી
ગોડબોલે	ગો@@ ડ@@ બો@@ લે
ગોડસે	ગો@@ ડ@@ સ@@ ે
ગોડ્ડા	ગો@@ ડ્@@ ડા
ગોતા	ગો@@ તા
ગોદડજી	ગો@@ દ@@ ડ@@ જી
ગોદાવરી	ગો@@ દા@@ વરી
ગોધરા	ગો@@ ધ@@ રા
ગોપનાથ	ગો@@ પ@@ નાથ
ગોપનું	ગો@@ પ@@ નું
ગોપાચલ	ગો@@ પા@@ ચલ
ગોપાલ	ગો@@ પાલ
ગોપાલકૃષ્ણ	ગો@@ પાલ@@ કૃષ્ણ
ગોપાલગંજ	ગો@@ પાલ@@ ગંજ
ગોપાળદાસ	ગો@@ પા@@ ળ@@ દાસ
ગોપીનાથ	ગો@@ પી@@ નાથ
ગોપીપુરા	ગો@@ પી@@ પુરા
ગોબિઓફ	ગો@@ બિ@@ ઓફ
ગોમતી	ગો@@ મતી
ગોમાઇ	ગો@@ મા@@ ઇ
ગોમ્પા	ગો@@ મ્પ@@ ા
ગોર	ગો@@ ર
ગોરખનાથ	ગોર@@ ખ@@ નાથ
ગોરખપુર	ગોર@@ ખ@@ પુર
ગોરખા	ગોર@@ ખા
ગોરજ	ગોર@@ જ
ગોરડ	ગોર@@ ડ
ગોરાઇ	ગો@@ રાઇ
ગોરેગાંવ	ગો@@ રે@@ ગાંવ
ગોલંદાજી	ગો@@ લ@@ ંદા@@ જી
ગોલઘર	ગો@@ લ@@ ઘર
ગોલપારા	ગો@@ લ@@ પ@@ ારા
ગોલા	ગો@@ લા
ગોલાઘાટ	ગો@@ લા@@ ઘાટ
ગોલાદરા	ગો@@ લા@@ દરા
ગોલાય	ગો@@ લા@@ ય
ગોલીબાર	ગો@@ લી@@ બા@@ ર
ગોલ્ડન	ગો@@ લ્@@ ડ@@ ન
ગોલ્ડફિશ	ગો@@ લ્@@ ડ@@ ફિ@@ શ
ગોલ્ડમૅન	ગો@@ લ્@@ ડ@@ મ@@ ૅ@@ ન
ગોળ	ગોળ
ગોળા	ગો@@ ળા
ગોળો	ગોળ ⧺ો
ગોવર્ધનરામ	ગો@@ વર્@@ ધન@@ રામ
ગોવિંદ	ગો@@ વિંદ
ગોવિંદજી	ગો@@ વિ@@ ંદ@@ જી
ગોવિંદભાઈ	ગો@@ વિ@@ ંદ@@ ભાઈ
ગોવિંદસિંહ	ગો@@ વિંદ@@ સિંહ
ગોસાલ	ગો@@ સા@@ લ
ગોસ્વામી	ગો@@ સ્વામી
ગોહિલ	ગો@@ હિ@@ લ
ગોહિલવાડ	ગો@@ હિ@@ લ@@ વાડ
ગોહીલ	ગો@@ હી@@ લ
ગૌડીય	ગૌ@@ ડ@@ ીય
ગૌતમ	ગૌ@@ તમ
ગૌમુખ	ગૌ@@ મુ@@ ખ
ગૌમુખાસન	ગૌ@@ મુ@@ ખા@@ સન
ગૌરવ	ગૌ@@ ર@@ વ
ગૌરીકુંડ	ગૌ@@ રી@@ કુંડ
ગૌરીગંજ	ગૌ@@ રી@@ ગંજ
ગૌરીશંકર	ગૌ@@ રી@@ શંકર
ગ્રંથ	ગ્રં@@ થ
ગ્રંથિ	ગ્રં@@ થ@@ િ
ગ્રંથો	ગ્રં@@ થ ⧺ો
ગ્રહ	ગ્રહ
ગ્રહરિપુ	ગ્ર@@ હરિ@@ પુ
ગ્રાંટ	ગ્ર@@ ાં@@ ટ
ગ્રાંડ	ગ્ર@@ ાં@@ ડ
ગ્રાઉન્ડ	ગ્રા@@ ઉ@@ ન્ડ
ગ્રાન્ડ	ગ્રા@@ ન્ડ
ગ્રાફ	ગ્રા@@ ફ
ગ્રામ	ગ્રા@@ મ
ગ્રામગીતા	ગ્રા@@ મ@@ ગી@@ તા
ગ્રામજીવન	ગ્રા@@ મ@@ જી@@ વન
ગ્રામિણ	ગ્રા@@ મિ@@ ણ
ગ્રામીણ	ગ્રા@@ મી@@ ણ
ગ્રાસ	ગ્રા@@ સ
ગ્રીક	ગ્રી@@ ક
ગ્રીન	ગ્રી@@ ન
ગ્રીનહાઉસ	ગ્રી@@ ન@@ હા@@ ઉ@@ સ
ગ્રીસ	ગ્રી@@ સ
ગ્રીસની	ગ્રી@@ સન ⧺ી
ગ્રીસનો	ગ્રી@@ સન ⧺ો
ગ્રુપ	ગ્ર@@ ુ@@ પ
ગ્રેગોરીયન	ગ્ર@@ ે@@ ગોર@@ ીય@@ ન
ગ્રેનવિલ	ગ્ર@@ ે@@ ન@@ વિ@@ લ
ગ્રેનેડાનો	ગ્ર@@ ે@@ ને@@ ડા@@ નો
ગ્રેનેડિયર્સ	ગ્ર@@ ે@@ ને@@ ડ@@ િય@@ ર્સ
ગ્રેહામ	ગ્ર@@ ે@@ હામ
ગ્રોટો	ગ્ર@@ ો@@ ટો
ગ્લોક	ગ્@@ લોક
ગ્વાટેમાલાનો	ગ્@@ વા@@ ટે@@ મા@@ લા@@ નો
ગ્વાલિયર	ગ્@@ વા@@ લ@@ િયર
ઘંટી	ઘ@@ ં@@ ટી
ઘંટી-ટાંકણો	ઘ@@ ં@@ ટી@@ -@@ ટ@@ ાં@@ ક@@ ણ@@ ો
ઘઉં	ઘ@@ ઉ@@ ં
ઘઉંનાં	ઘ@@ ઉ@@ ં@@ નાં
ઘટકો	ઘ@@ ટ@@ કો
ઘટના	ઘ@@ ટ@@ ના
ઘટનાઓ	ઘ@@ ટ@@ ના@@ ઓ
ઘટોત્કચ	ઘ@@ ટો@@ ત્@@ ક@@ ચ
ઘડિયા	ઘ@@ ડિયા
ઘડિયાલ	ઘ@@ ડિયા@@ લ
ઘન	ઘ@@ ન
ઘનગડ	ઘ@@ નગ@@ ડ
ઘનશ્યામ	ઘ@@ ન@@ શ્યા@@ મ
ઘનશ્યામભાઈ	ઘ@@ ન@@ શ્યામ@@ ભાઈ
ઘનશ્યામસિંહ	ઘ@@ ન@@ શ્યા@@ મ@@ સિંહ
ઘર	ઘર
ઘસાઈ	ઘ@@ સાઈ
ઘાંચી	ઘ@@ ાં@@ ચી
ઘાંડલા	ઘ@@ ાં@@ ડ@@ લા
ઘાઘરા	ઘા@@ ઘ@@ રા
ઘાટ	ઘાટ
ઘાટ,	ઘા@@ ટ,
ઘાટલોડિયા	ઘા@@ ટ@@ લો@@ ડિયા
ઘાટી	ઘાટ ⧺ી
ઘાના	ઘા@@ ના
ઘાનાનો	ઘા@@ ના@@ નો
ઘાબાજરીયુ	ઘા@@ બા@@ જ@@ ર@@ ીય@@ ુ
ઘાયલ	ઘા@@ યલ
ઘારી	ઘ@@ ારી
ઘાવરી	ઘા@@ વરી
ઘાસચારો	ઘા@@ સ@@ ચ@@ ારો
ઘી	ઘ@@ ી
ઘીયા	ઘ@@ ીયા
ઘુંટેલી	ઘુ@@ ં@@ ટે@@ લી
ઘુડખર	ઘુ@@ ડ@@ ખર
ઘુમ	ઘુ@@ મ
ઘુમર	ઘુ@@ મ@@ ર
ઘુમલી	ઘુ@@ મ@@ લી
ઘૃષ્ણેશ્વર	ઘ@@ ૃ@@ ષ્ણ@@ ેશ્વર
ઘેડ	ઘે@@ ડ
ઘેરંડ	ઘે@@ ર@@ ંડ
ઘેરો	ઘે@@ રો
ઘેલુભાઈ	ઘે@@ લુ@@ ભાઈ
ઘેલો	ઘે@@ લો
ઘોંઘાટ	ઘો@@ ં@@ ઘાટ
ઘોઘા	ઘો@@ ઘ@@ ા
ઘોડદોડ	ઘો@@ ડ@@ દો@@ ડ
ઘોડબંદર	ઘો@@ ડ@@ બંદર
ઘોડા	ઘો@@ ડા
ઘોડી	ઘો@@ ડ ⧺ી
ઘોડો	ઘો@@ ડ ⧺ો
ઘોર	ઘો@@ ર
ઘોરખોદિયું	ઘો@@ ર@@ ખો@@ દ@@ િય@@ ું
ઘોરાડ	ઘો@@ રા@@ ડ
ઘોરી	ઘો@@ ર ⧺ી
ઘોષ	ઘો@@ ષ
ઘોષાલ	ઘો@@ ષ@@ ા@@ લ
ઙુલત્રુમ	ઙ@@ ુ@@ લ@@ ત્ર@@ ુ@@ મ
ચંચુ	ચં@@ ચ@@ ુ
ચંડીગઢ	ચ@@ ંડ@@ ી@@ ગઢ
ચંડુલ	ચ@@ ંડ@@ ુ@@ લ
ચંડેલ	ચ@@ ંડ@@ ે@@ લ
ચંદ	ચ@@ ંદ
ચંદનાપુરી	ચંદ@@ ના@@ પુરી
ચંદર	ચંદ@@ ર
ચંદરયા	ચંદ@@ ર@@ યા
ચંદીયા	ચંદ@@ ીયા
ચંદુભાઈ	ચંદ@@ ુ@@ ભાઈ
ચંદેરીનો	ચંદ@@ ે@@ રી@@ નો
ચંદ્ર	ચંદ્ર
ચંદ્રક	ચંદ્ર@@ ક
ચંદ્રકાંત	ચંદ્ર@@ કાંત
ચંદ્રકાન્ત	ચંદ્ર@@ કા@@ ન્@@ ત
ચંદ્રગુપ્ત	ચંદ્ર@@ ગુ@@ પ્ત
ચંદ્રતાલ	ચંદ્ર@@ તાલ
ચંદ્રપૂર	ચંદ્ર@@ પૂર
ચંદ્રપ્રભ	ચંદ્ર@@ પ્ર@@ ભ
ચંદ્રયાન-૧	ચંદ્ર@@ યાન@@ -@@ ૧
ચંદ્રયાન-૨	ચંદ્ર@@ યાન@@ -@@ ૨
ચંદ્રવંશી	ચંદ્ર@@ વં@@ શી
ચંદ્રવદન	ચંદ્ર@@ વ@@ દન
ચંદ્રશેખર	ચંદ્ર@@ શે@@ ખર
ચંદ્રશેખરેન્દ્ર	ચંદ્ર@@ શે@@ ખ@@ રે@@ ન્દ્ર
ચંદ્રા	ચંદ્ર@@ ા
ચંદ્રો	ચંદ્ર ⧺ો
ચંપક	ચં@@ પ@@ ક
ચંપારણ	ચં@@ પાર@@ ણ
ચંપારણ્ય	ચં@@ પ@@ ારણ્ય
ચંપાવત	ચં@@ પા@@ વત
ચંપો	ચં@@ પો
ચંબલ	ચ@@ ંબ@@ લ
ચંબા	ચ@@ ંબા
ચક	ચ@@ ક
ચકરી	ચ@@ કરી
ચકલાસી	ચ@@ કલા@@ સી
ચકલી	ચકલી
ચકાસણીયોગ્યતા	ચ@@ કા@@ સ@@ ણ@@ ીય@@ ો@@ ગ@@ ્ય@@ તા
ચક્તાવાળી	ચક્@@ તા@@ વાળી
ચક્ર	ચક્ર
ચક્રવર્તી	ચ@@ ક્ર@@ વર્@@ તી
ચક્રવાક	ચ@@ ક્ર@@ વા@@ ક
ચક્રવાત	ચ@@ ક્ર@@ વા@@ ત
ચચાણા	ચ@@ ચા@@ ણા
ચટણી	ચ@@ ટ@@ ણી
ચઢ્ઢા	ચ@@ ઢ@@ ્@@ ઢ@@ ા
ચણા	ચ@@ ણા
ચણોઠી	ચ@@ ણો@@ ઠી
ચણોદ	ચ@@ ણો@@ દ
ચતરા	ચ@@ ત@@ રા
ચતુર્થી	ચ@@ તુ@@ ર્@@ થી
ચતુર્વેદી	ચ@@ તુ@@ ર્@@ વેદી
ચતુષ્કોણ	ચ@@ તુ@@ ષ્@@ કોણ
ચન્દનનગર	ચ@@ ન્દ@@ ન@@ નગર
ચન્દૌલી	ચ@@ ન્દ@@ ૌ@@ લી
ચન્દ્રકાન્ત	ચ@@ ન્દ્ર@@ કા@@ ન્@@ ત
ચન્દ્રઘંટા	ચ@@ ન્દ્ર@@ ઘ@@ ં@@ ટા
ચબુતરો	ચ@@ બુ@@ તર@@ ો
ચમારડી	ચ@@ માર@@ ડી
ચમોલી	ચ@@ મો@@ લી
ચમ્ફાઇ	ચ@@ મ્@@ ફા@@ ઇ
ચયાપચય	ચ@@ યા@@ પ@@ ચ@@ ય
ચરક	ચ@@ ર@@ ક
ચરખા	ચ@@ ર@@ ખા
ચરખો	ચ@@ ર@@ ખ@@ ો
ચરબી	ચ@@ રબી
ચરિત	ચ@@ રિ@@ ત
ચરિતામૃત	ચ@@ રિ@@ તા@@ મૃ@@ ત
ચરિત્ર	ચ@@ રિ@@ ત્ર
ચરી	ચ@@ રી
ચર્ચા-પૂરી	ચ@@ ર્@@ ચ@@ ા@@ -@@ પૂર ⧺ી
ચર્ચાપાનું	ચ@@ ર્@@ ચ@@ ા@@ પા@@ નું
ચલ	ચલ
ચલચિત્ર	ચલ@@ ચિ@@ ત્ર
ચલણી	ચલ@@ ણી
ચલથાણ	ચલ@@ થા@@ ણ
ચલાલા	ચ@@ લા@@ લા
ચળવળ	ચ@@ ળ@@ વળ
ચશ્મા	ચ@@ શ્@@ મા
ચા	ચ@@ ા
ચાંગા	ચા@@ ંગા
ચાંચ	ચ@@ ાં@@ ચ
ચાંદ	ચ@@ ાં@@ દ
ચાંદપુરી	ચ@@ ાં@@ દ@@ પુર ⧺ી
ચાંદી	ચ@@ ાં@@ દ ⧺ી
ચાંદ્રોડા	ચા@@ ંદ@@ ્રો@@ ડા
ચાંપાનેર	ચ@@ ાં@@ પા@@ નેર
ચાઇનીઝ	ચા@@ ઇ@@ ની@@ ઝ
ચાકન	ચા@@ કન
ચાકળ	ચા@@ ક@@ ળ
ચાકી	ચા@@ કી
ચાક્યાર	ચા@@ ક્@@ યા@@ ર
ચાગસ	ચા@@ ગ@@ સ
ચાટ	ચા@@ ટ
ચાડિયો	ચા@@ ડ@@ િયો
ચાણક્ય	ચા@@ ણ@@ ક્@@ ય
ચાણસ્મા	ચા@@ ણ@@ સ્@@ મા
ચાતક	ચા@@ તક
ચામરાજનગર	ચા@@ મ@@ રાજ@@ નગર
ચામલિંગ	ચા@@ મ@@ લિંગ
ચામાચિડિયું	ચા@@ મા@@ ચિ@@ ડ@@ િય@@ ું
ચામુંડા	ચા@@ મુ@@ ંડા
ચામુંડી	ચા@@ મુ@@ ંડી
ચારકોપ	ચાર@@ કો@@ પ
ચારણ	ચાર@@ ણ
ચારધામ	ચાર@@ ધામ
ચારેન્ત્સ	ચાર@@ ે@@ ન્@@ ત્@@ સ
ચારોળી	ચાર@@ ો@@ ળી
ચાર્લી	ચાર્@@ લી
ચાર્લ્સ	ચાર્@@ લ્સ
ચાલ	ચા@@ લ
ચાલીસા	ચા@@ લી@@ સા
ચાલુ	ચા@@ લ@@ ુ
ચાલુક્ય	ચા@@ લુ@@ ક્@@ ય
ચાળીસગાંવ	ચા@@ ળ@@ ી@@ સ@@ ગાંવ
ચાવંડ	ચા@@ વ@@ ંડ
ચાવડા	ચા@@ વડા
ચાવલા	ચા@@ વ@@ લા
ચાવીન્દાની	ચા@@ વી@@ ન્@@ દા@@ ની
ચિંકારા	ચિ@@ ંક@@ ારા
ચિંતાજનક	ચિ@@ ં@@ તા@@ જન@@ ક
ચિકમંગલુર	ચિ@@ કમ@@ ંગ@@ લુર
ચિકમંગલૂર	ચિ@@ કમ@@ ંગ@@ લ@@ ૂર
ચિકિત્સા	ચિ@@ કિ@@ ત્@@ સા
ચિક્કબલ્લાપુરા	ચિ@@ ક્@@ ક@@ બ@@ લ્@@ લા@@ પુરા
ચિખલદારા	ચિ@@ ખ@@ લ@@ દ@@ ારા
ચિખલી	ચિ@@ ખ@@ લી
ચિખલી,	ચિ@@ ખ@@ લી@@ ,
ચિખોદરા	ચિ@@ ખો@@ દરા
ચિચેન	ચિ@@ ચે@@ ન
ચિટકુલ,	ચિ@@ ટ@@ કુ@@ લ,
ચિત્તભ્રમણા	ચિત્ત@@ ભ@@ ્ર@@ મ@@ ણા
ચિત્તરંજનદાસ	ચિત્ત@@ રં@@ જન@@ દાસ
ચિત્તાગોંગ	ચિ@@ ત્તા@@ ગો@@ ંગ
ચિત્તૂર	ચિત્ત@@ ૂર
ચિત્તો	ચિત્ત@@ ો
ચિત્તોડગઢ	ચિત્ત@@ ો@@ ડ@@ ગઢ
ચિત્રકળા	ચિત્ર@@ ક@@ ળા
ચિત્રકૂટ	ચિત્ર@@ કૂ@@ ટ
ચિત્રકોટનો	ચિત્ર@@ કો@@ ટ@@ નો
ચિત્રગેલેરી	ચિત્ર@@ ગે@@ લે@@ રી
ચિત્રદુર્ગ	ચિત્ર@@ દુર્ગ
ચિત્રલિપિ	ચિત્ર@@ લિપિ
ચિત્રલેખા	ચિત્ર@@ લે@@ ખા
ચિત્રા	ચિત્ર@@ ા
ચિત્રાંગદ	ચિત્ર@@ ા@@ ંગ@@ દ
ચિત્રાંગદા	ચિત્ર@@ ા@@ ંગ@@ દા
ચિત્રાવાવ,તા.રાજકોટ	ચિત્ર@@ ા@@ વા@@ વ@@ ,@@ તા@@ .@@ રાજકોટ
ચિત્રોડ	ચિત્ર@@ ો@@ ડ
ચિદમ્બરમ	ચિ@@ દ@@ મ્@@ બર@@ મ
ચિનુ	ચિ@@ ન@@ ુ
ચિનોઇ	ચિ@@ નો@@ ઇ
ચિરંજીવી	ચિ@@ રં@@ જી@@ વી
ચિરમીરી,	ચિ@@ ર@@ મી@@ રી@@ ,
ચિરાઘ	ચિ@@ રા@@ ઘ
ચિલીના	ચિ@@ લી@@ ના
ચિશ્તી	ચિ@@ શ્@@ તી
ચિહ્ન	ચિહ્@@ ન
ચી	ચી
ચીંગ	ચી@@ ંગ
ચીકુ	ચી@@ કુ
ચીજગામ	ચી@@ જ@@ ગામ
ચીઝ	ચી@@ ઝ
ચીન	ચીન
ચીનની	ચી@@ ન@@ ની
ચીનનો	ચી@@ નન ⧺ો
ચીનાઈ	ચી@@ ના@@ ઈ
ચીની	ચીન ⧺ી
ચીપકો	ચી@@ પ@@ કો
ચીમનભાઈ	ચી@@ મન@@ ભાઈ
ચીમનલાલ	ચી@@ મન@@ લાલ
ચીયા	ચ@@ ીયા
ચીર	ચી@@ ર
ચીરાઇ	ચી@@ રાઇ
ચીલી	ચી@@ લી
ચીલીનો	ચી@@ લી@@ નો
ચુંબકીય	ચુ@@ ંબ@@ ક@@ ીય
ચુઆન	ચુ@@ આ@@ ન
ચુચુરા	ચુ@@ ચુ@@ રા
ચુડા	ચુ@@ ડા
ચુડાસમા	ચુ@@ ડા@@ સ@@ મા
ચુની	ચુ@@ ની
ચુનીલાલ	ચુ@@ ની@@ લાલ
ચુરાચાંદપુર	ચુ@@ રા@@ ચા@@ ંદ@@ પુર
ચુરુ	ચુ@@ રુ
ચૂંટણી	ચૂંટ@@ ણી
ચૂંટણી,	ચૂંટ@@ ણી@@ ,
ચૂડામણિ	ચૂ@@ ડા@@ મણ@@ િ
ચૂલો	ચૂ@@ લો
ચૅડ	ચ@@ ૅ@@ ડ
ચૅડનો	ચ@@ ૅ@@ ડ@@ નો
ચૅડવિક	ચ@@ ૅ@@ ડ@@ વિ@@ ક
ચૅપ્લિન	ચ@@ ૅ@@ પ્@@ લિ@@ ન
ચે	ચ@@ ે
ચેંગલોન્ગ	ચે@@ ંગ@@ લોન્ગ
ચેઇન્સ	ચે@@ ઇન્@@ સ
ચેકિતાન	ચે@@ કિ@@ તાન
ચેખવ	ચે@@ ખ@@ વ
ચેટર્જી	ચે@@ ટર્@@ જી
ચેટીચંડ	ચે@@ ટી@@ ચ@@ ંડ
ચેતક	ચે@@ તક
ચેતન	ચે@@ તન
ચેતેશ્વર	ચે@@ તે@@ શ્વર
ચેન	ચે@@ ન
ચેનલ	ચે@@ ન@@ લ
ચેનલો	ચે@@ ન@@ લ ⧺ો
ચેનાબ	ચે@@ ના@@ બ
ચેન્નઈ	ચે@@ ન્ન@@ ઈ
ચેન્નાઇ	ચે@@ ન્@@ ના@@ ઇ
ચેપો	ચે@@ પો
ચેમ્પ્સ-એલીસીસ	ચે@@ મ્પ્@@ સ@@ -@@ એ@@ લી@@ સી@@ સ
ચેરાપુંજી	ચે@@ રા@@ પુ@@ ં@@ જી
ચેરી	ચે@@ રી
ચેલ્સી	ચે@@ લ્@@ સી
ચેવડો	ચે@@ વ@@ ડો
ચેસ	ચે@@ સ
ચેસ્ટર	ચે@@ સ્ટર
ચૈતન્ય	ચ@@ ૈ@@ ત@@ ન્ય
ચૈત્ર	ચ@@ ૈ@@ ત્ર
ચો	ચો
ચોક	ચો@@ ક
ચોકઠું	ચોકઠ@@ ું
ચોકડી	ચો@@ ક@@ ડી
ચોગઠ	ચો@@ ગ@@ ઠ
ચોઘડિયાં	ચો@@ ઘ@@ ડિયા@@ ં
ચોટલી	ચો@@ ટ@@ લી
ચોટીલા	ચો@@ ટી@@ લા
ચોટીલી	ચો@@ ટી@@ લી
ચોતરો	ચો@@ તર@@ ો
ચોતરો/દફ્તર	ચો@@ ત@@ રો@@ /@@ દ@@ ફ્@@ તર
ચોથ	ચો@@ થ
ચોપડા	ચો@@ પ@@ ડા
ચોપરા	ચો@@ પ@@ રા
ચોબારી	ચો@@ બ@@ ારી
ચોમાસુ	ચો@@ મા@@ સ@@ ુ
ચોમ્સ્કી	ચો@@ મ્@@ સ્@@ કી
ચોરલા	ચો@@ ર@@ લા
ચોરવાડ	ચો@@ ર@@ વાડ
ચોરસ	ચો@@ રસ
ચોર્યાસીસ્તંભ	ચો@@ ર્@@ યા@@ સી@@ સ્@@ તં@@ ભ
ચોલ	ચો@@ લ
ચોલા	ચો@@ લા
ચોલામંડલમ	ચો@@ લા@@ મંડ@@ લમ
ચોળા	ચો@@ ળા
ચોસઠ	ચો@@ સ@@ ઠ
ચૌટાબજાર,	ચૌ@@ ટા@@ બ@@ જ@@ ાર@@ ,
ચૌદશ	ચૌ@@ દ@@ શ
ચૌદસ	ચૌ@@ દ@@ સ
ચૌધરી	ચૌ@@ ધરી
ચૌધુરી	ચૌ@@ ધુ@@ રી
ચૌરસિયા	ચૌ@@ ર@@ સ@@ િયા
ચૌરા	ચૌ@@ રા
ચૌરી	ચૌ@@ રી
ચૌસઠ	ચૌ@@ સ@@ ઠ
ચૌહાણ	ચૌ@@ હા@@ ણ
છઠ	છ@@ ઠ
છઠ્ઠી	છ@@ ઠ@@ ્@@ ઠી
છત્તરપુર	છ@@ ત્ત@@ રપુર
છત્તિસગઢ	છત્@@ તિ@@ સગઢ
છત્તીસગઢ	છત્તીસગઢ
છત્તીસગઢના	છત્તીસગઢ ⧺ના
છત્તીસગઢી	છત્તીસગઢ ⧺ી
છત્રપતિ	છ@@ ત્ર@@ પતિ
છત્રપુર	છ@@ ત્ર@@ પુર
છત્રી,	છ@@ ત્ર@@ ી@@ ,
છપિયા	છ@@ પ@@ િયા
છબીલદાસ	છ@@ બી@@ લ@@ દાસ
છલાળા	છ@@ લા@@ ળા
છાંયા	છ@@ ાં@@ યા
છાણીયું	છા@@ ણ@@ ીય@@ ું
છાપી	છા@@ પી
છાયા	છા@@ યા
છારી-ઢંઢ	છ@@ ારી@@ -@@ ઢ@@ ં@@ ઢ
છારોડી	છ@@ ાર@@ ો@@ ડી
છાશ	છા@@ શ
છિદ્રાળુતા	છ@@ િ@@ દ્ર@@ ા@@ ળ@@ ુ@@ તા
છિન્દવાડા	છ@@ િ@@ ન્દ@@ વાડા
છિન્નપત્ર	છ@@ િ@@ ન્ન@@ પ@@ ત્ર
છુઈખદાન	છ@@ ુ@@ ઈ@@ ખ@@ દાન
છુપી	છ@@ ુ@@ પી
છૂંદો	છ@@ ૂ@@ ંદ@@ ો
છેડા	છે@@ ડા
છેર	છે@@ ર
છેલ	છે@@ લ
છેલ્લો	છે@@ લ્@@ લો
